,deposit_id,deposit_name,latitude,longitude,deposit_model,url
124,428,Bis-Buljuk,47.3333,53.3333,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=428
125,242,Bischofferode,51.4905,10.4149,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=242
126,210,Black Mountain,14.2207,40.2869,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=210
127,243,Bleicherode,51.4523,10.5976,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=243
128,244,Bokeloh,52.4,9.4,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=244
129,232,Bokolo area,-2.646,10.242,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=232
130,784,Bolekhov,49.0727,23.859,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=784
131,478,sylvite occurrence,45.5014,57.1419,evaporite,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=478
132,785,Bolokhov,49.2965,23.9046,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=785
133,24,Bonnie No. 1,-25.0003,145.3669,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=24
134,25,Boree No. 1,-24.7589,145.5767,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=25
135,245,Borth,51.6,6.55,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=245
136,786,Borislav,49.3153,23.4538,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=786
137,526,Boufekrane,33.883,-5.55,mixed stratabound potash-bearing salt and halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=526
138,87,Boularderie,46.0753,-60.6439,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=87
139,837,Boulby,54.5524,-0.8251,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=837
140,104,Bredenbury,50.9424,-102.0457,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=104
141,886,Bryan Mound,28.9164,-95.3772,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=886
142,246,Buggingen,47.8581,7.6195,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=246
143,584,Buran,50.9786,54.4647,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=584
144,247,Burbach,52.25,11.09,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=247
145,105,Burr,52.0121,-105.1949,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=105
146,585,Buzuluk,52.417,52.25,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=585
147,697,Bygelsko-Troizki,59.4297,56.9594,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=697
148,588,Chapaev,47.65,44.515,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=588
149,564,Calu,46.8353,26.4374,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=564
150,892,Cane Creek,38.5225,-109.6578,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=892
151,82,Captain Cook 1,48.4025,-58.5291,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=82
152,723,Cardona,41.9045,1.6766,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=723
153,848,Carey,38.0472,-97.8721,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=848
154,858,Carlsbad District,32.4903,-103.9375,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=858
155,867,Carlsbad-Lea Mine,32.5708,-103.5519,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=867
156,248,Carlsfund,51.951,10.108,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=248
157,842,Carmack Potash,38.3358,-108.8726,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=842
158,446,Central Kurgantau,48.548,51.907,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=446
159,565,Cerdac,46.2337,26.4954,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=565
160,5,Cerro Chiuido Sur-Canadon Amarillo,-36.9287,-69.4003,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=5
161,518,Cerro Prieto,32.425,-115.2786,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=518
162,156,Chalaka,32.912,82.513,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=156
163,587,Chalyklin,51.1667,49.4,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=587
164,430,Chapurin,51.5833,51.0167,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=430
165,753,Chashranta,37.5856,66.1969,mixed stratabound potash-bearing salt and halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=753
166,754,Chashtepe,39.1991,63.5844,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=754
167,738,Chaturaphak-Phiman,15.85,103.55,mixed stratabound potash-bearing salt and halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=738
168,368,Chehr Abad,36.9144,47.8589,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=368
169,431,Chelkar,50.5656,51.699,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=431
170,31,Chervonaya Sloboda,52.5237,28.4651,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=31
171,432,Chinarev,51.5631,52.4692,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=432
172,557,Chlapcwo,54.7833,18.2833,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=557
173,748,Chott Djerid,33.7167,8.6167,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=748
174,589,Chukhonastov,49.8667,45.1,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=589
175,88,Cleveland,45.6478,-61.154,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=88
