,deposit_id,deposit_name,url
148,Mr00083,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00083
149,Mo00515,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00515
150,Mf00508,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00508
151,Mf00509,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00509
152,Mf00511,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00511
153,Mo00517,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00517
154,Mr00143,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00143
155,Mf00573,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00573
156,Mo00725,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00725
157,Mo00726,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00726
158,Mo00727,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00727
159,Mo00728,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00728
160,Mf00240,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00240
161,Mo00262,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00262
162,Mr00069,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00069
163,Mr00142,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00142
164,Mf00450,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00450
165,Mo00510,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00510
166,Mf00452,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00452
167,Mo00511,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00511
168,Mf00454,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00454
169,Mo00462,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00462
170,Mf00456,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00456
171,Mo00514,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00514
172,Mf00473,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00473
173,Mo00710,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00710
174,Mf00474,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00474
175,Mo00513,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00513
176,Mf00481,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00481
177,Mo00512,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00512
178,Mr00113,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00113
179,Mr00112,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00112
180,Mr00139,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00139
181,Mr00140,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00140
182,Mr00111,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00111
183,Mf00570,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00570
184,Mo00711,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00711
185,Mo00712,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00712
186,Mo00713,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00713
187,Mo00714,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00714
188,Mf00571,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00571
189,Mo00715,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00715
190,Mo00723,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00723
191,Mf00572,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00572
192,Mo00724,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00724
193,Mf00512,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00512
194,Mf00513,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00513
195,Mo00518,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00518
196,Mr00126,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00126
