,deposit_id,deposit_name,latitude,longitude,deposit_model,url
53,54,NA,51.45,-118.82,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=54
54,55,NA,52.64,-8.98,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=55
55,56,NA,2.83,98.17,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=56
56,57,NA,26.63,102.88,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=57
57,58,NA,33.91,105.75,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=58
58,59,NA,24.38,72.83,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=59
59,60,NA,25.45,74.63,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=60
60,61,NA,36.47,9.09,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=61
61,62,NA,28.41,109.41,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=62
62,63,NA,41.65,106.72,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=63
63,64,NA,58.05,-125.95,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=64
64,65,NA,26.09,66.82,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=65
65,66,NA,-20.25,140.15,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=66
66,67,NA,50.37,-116.95,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=67
67,68,NA,62.23,-133.14,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=68
68,69,NA,75.57,-96.2,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=69
69,70,NA,-30.8,138.13,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=70
70,71,NA,44.34,-75.26,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=71
71,72,NA,34.32,-1.44,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=72
72,73,NA,-31.17,145.65,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=73
73,74,NA,33.75,49.61,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=74
74,75,NA,66.97,-113.43,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=75
75,76,NA,-16.87,-46.52,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=76
76,77,NA,25.1,113.62,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=77
77,78,NA,62.36,-133.37,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=78
78,79,NA,36.37,9.1,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=79
79,80,NA,41.79,46.47,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=80
80,81,NA,-5.92,-78.06,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=81
81,82,NA,-18.19,125.77,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=82
82,83,NA,40.56,-75.38,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=83
83,84,NA,52.8,-7.59,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=84
84,85,NA,-29.25,18.97,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=85
85,86,NA,28.07,85.18,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=86
86,87,NA,25.8,75.25,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=87
87,88,NA,40.45,117.9,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=88
88,89,NA,53.65,-7.72,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=89
89,90,NA,64.93,-130.68,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=90
90,91,NA,45.03,-63.36,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=91
91,92,NA,-18.63,125.88,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=92
92,93,NA,58.08,93.31,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=93
93,94,NA,45.52,9.5,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=94
