,deposit_id,deposit_name,latitude,longitude,deposit_model,url
327,458,Wadi El Serei (El Sarai),26.2,33.03333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=458
328,459,Wadi El Shaghab,25.06667,33.1,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=459
329,460,Wadi Hamama,26.3,33.0,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=460
330,461,Wadi Qena-Wadi Araba,27.16664,32.66667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=461
331,462,,26.3,34.1,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=462
332,464,Abu Shigeila (Abu Shegeila),26.2,34.21667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=464
333,466,Anz,25.5,34.63333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=466
334,467,Atshan,24.21667,32.2,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=467
335,468,Duwi (Gebel Duwi),26.23333,33.95,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=468
336,469,Hamadat,25.98333,34.16667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=469
337,470,"El Hamra, Kueik",26.28333,34.16667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=470
338,471,Nakheil,26.18333,34.05,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=471
339,475,Wassif (Safaga),26.46667,33.66667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=475
340,476,Um El Howeitat (Umel Huetat),26.5,33.93333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=476
341,477,"Abu Tartur (Abu Tartour, Maghrabi-Liffiya)",25.433333,30.033333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=477
342,478,,28.5,29.0,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=478
343,480,,59.16667,29.0,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=480
344,481,,59.366667,28.166667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=481
345,488,,59.36667,26.7,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=488
346,489,,59.3,27.16667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=489
347,491,,10.75,38.76667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=491
348,492,,6.9667,45.35,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=492
349,493,,9.25,35.7,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=493
350,494,,63.083333,27.666667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=494
351,495,,67.75,29.25,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=495
352,496,,64.416667,27.833333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=496
353,497,,63.5,24.0,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=497
354,498,,64.416667,25.15,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=498
355,499,,61.716667,24.05,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=499
356,500,,49.41667,5.78333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=500
357,501,,44.48333,2.53333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=501
358,502,,46.15,2.3,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=502
359,503,,47.68333,5.65,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=503
360,504,,45.6,5.18333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=504
