,Deposit type,USGS_Model,,,,,,,,,,,,,,,,,,,
91,Orogenic silver-lead-zinc-copper-antimony,,,,,,,,,,,,,,,,,,,,
92,Orogenic copper ± gold,,,,,,,,,,,,,,,,,,,,
93,Orogenic graphite,37g,,,,,,,,,,,,,,,,,,,
94,Metamorphic graphite,37f,,,,,,,,,,,,,,,,,,,
95,Metamorphic kyanite,37c,,,,,,,,,,,,,,,,,,,
96,Low Iron alkali-calcic,,,,,,,,,,,,,,,,,,,,
97,Albitite-hosted uranium,,,,,,,,,,,,,,,,,,,,
98,Ferroan carbonate polymetallic,,,,,,,,,,,,,,,,,,,,
99,Iron sulfide polymetallic,,,,,,,,,,,,,,,,,,,,
100,Iron silicate polymetallic,,,,,,,,,,,,,,,,,,,,
101,Iron oxide polymetallic,,,,,,,,,,,,,,,,,,,,
102,Iron oxide uranium,,,,,,,,,,,,,,,,,,,,
103,Iron oxide gold,,,,,,,,,,,,,,,,,,,,
104,Hematite-dominant IOCG,29b,,,,,,,,,,,,,,,,,,,
105,Magnetite-dominant IOCG,,,,,,,,,,,,,,,,,,,,
106,Hematite-dominant IOA,,,,,,,,,,,,,,,,,,,,
107,Magnetite-dominant IOA,,,,,,,,,,,,,,,,,,,,
108,Mafic-ultramafic VMS,24a,,,,,,,,,,,,,,,,,,,
109,Mafic-siliciclastic VMS,24b,,,,,,,,,,,,,,,,,,,
110,Bimodal mafic VMS,,,,,,,,,,,,,,,,,,,,
111,Bimodal felsic VMS,28a,,,,,,,,,,,,,,,,,,,
112,Felsic-siliciclastic VMS,,,,,,,,,,,,,,,,,,,,
113,Algoma-type banded iron formation,28b,,,,,,,,,,,,,,,,,,,
114,Volcanogenic manganese,24c,,,,,,,,,,,,,,,,,,,
115,Low-sulfidation (LS) epithermal gold-silver,,,,,,,,,,,,,,,,,,,,
116,"Intermediate-sulfidation (IS) epithermal silver-gold ± Zn, Pb, Cu, Sn, Mn",25b,,,,,,,,,,,,,,,,,,,
117,High-sulfidation (HS) epithermal silver-gold ± Cu,25e,,,,,,,,,,,,,,,,,,,
118,Alkalic epithermal gold ± Ag,22b,,,,,,,,,,,,,,,,,,,
119,Epithermal mercury,27a,,,,,,,,,,,,,,,,,,,
120,Epithermal beryllium,25n,,,,,,,,,,,,,,,,,,,
121,Epithermal uranium,25f,,,,,,,,,,,,,,,,,,,
122,Vein ± replacement nickel,,,,,,,,,,,,,,,,,,,,
123,Vein cobalt ± Ni,,,,,,,,,,,,,,,,,,,,
124,Vein copper,,,,,,,,,,,,,,,,,,,,
125,Vein tin,15b,,,,,,,,,,,,,,,,,,,
126,Vein tungsten,15a,,,,,,,,,,,,,,,,,,,
127,Vein tin polymetallic,20b,,,,,,,,,,,,,,,,,,,
128,Vein fluorite,26b,,,,,,,,,,,,,,,,,,,
129,Vein polymetallic,22c,,,,,,,,,,,,,,,,,,,
130,Breccia pipe copper,,,,,,,,,,,,,,,,,,,,
131,Breccia pipe gold,,,,,,,,,,,,,,,,,,,,
132,Breccia pipe molybdenum,,,,,,,,,,,,,,,,,,,,
133,Breccia pipe REE,,,,,,,,,,,,,,,,,,,,
134,Carlin-type gold,,,,,,,,,,,,,,,,,,,,
135,Distal-disseminated silver-gold,19c,,,,,,,,,,,,,,,,,,,
136,Replacement polymetallic,19a,,,,,,,,,,,,,,,,,,,
137,Replacement gold-silver,,,,,,,,,,,,,,,,,,,,
138,Replacement tin,14c,,,,,,,,,,,,,,,,,,,
139,Replacement copper,,,,,,,,,,,,,,,,,,,,
140,Replacement zinc-lead,,,,,,,,,,,,,,,,,,,,
141,Replacement manganese,19b,,,,,,,,,,,,,,,,,,,
142,Replacement magnesium,,,,,,,,,,,,,,,,,,,,
143,Replacement fluorite,32m,,,,,,,,,,,,,,,,,,,
