minmod_id,CommodityinMRDS,CommodityinGeoKb,IDinGeoKB
Q664,"Stone, Crushed/Broken",,
Q665,"Stone, Dimension",,
Q666,Sulfides,,
Q667,"Sulfur, Iron Pyrite",,
Q668,"Sulfur, Sulfuric Acid",,
Q669,Talc-Soapstone,,
Q670,"Tantalum, Tin Slag",,
Q671,"Tin, Tailings",,
Q672,"Titanium, Heavy Minerals",,
Q673,"Titanium, Ilmenite",,
Q674,"Titanium, Metal",,
Q675,"Titanium, Pigment",,
Q676,"Titanium, Rutile",,
Q677,"Tungsten, Mill Concentrate",,
Q678,"Tungsten, Refinery",,
Q679,Volcanic Materials,,
Q680,Water,,
Q681,Zeolites,,
Q682,"Zinc, Refiner",,
Q683,"Zinc, Smelter",,
